Hi,Greeting
Hey,Greeting
Hey man,Greeting
How are you doing,Greeting
How's it going,Greeting
What's up,Greeting
What's new,Greeting
What is going on,Greeting
How is everything,Greeting
How's life,Greeting
How's your day,Greeting
How's your day going,Greeting
How can I help you ,Greeting
Hello,Greeting
hello,Greeting
hallo,Greeting
How are you,Greeting
What are you looking for today ,Others
I can help you buy something using this app.,Others
Can I help you with something? ,Others
Nice to see you,Greeting
Can you show me some baby wipes,Search
Can you show me some Pull- Ups,Search
Can you show me some diapers,Search
Can you show me some baby formula,Search
Can you show me Organic Infant Formula Powder,Search
Can you show me Sensitive Non-GMO Ready to Food Infant Formula,Search
Can you how me Little Movers Plus Diapers in Size 5,Search
Can you show me Pull-Ups Plus Size 3T-4T (Boys/Girls),Search
Can you show me the best-selling baby wipes,Search
Can you show me the cheapest baby formula ,Search
Can you show me the most popular diapers ,Search
Can you show me Advance Non-GMO Infant Formula Powder,Search
Show me some Baby wipes,Search
Show me some Pull- Ups,Search
Show me some diapers,Search
Show me Little Movers Plus Diapers in  Size 4,Search
Show me Gentlease Infant Formula Powder,Search
Show me Natural Care Plus Baby Wipes,Search
Show me Little Snugglers Plus Diapers Newborn Skin Care Essentials Kit,Search
Show me the best-selling diapers ,Search
Show me the cheapest baby formula ,Search
Show me the most popular baby wipes,Search
Show me the best-selling Pull-Ups,Search
Show me some baby formula,Search
I would want some baby wipes,Search
I would want some Pull-Ups,Search
I would want some baby formula,Search
I would want some Little Movers Plus Diapers Size 6,Search
I would want Infant Formula Powder,Search
I would want Sensitive Non-GMO Ready to Feed Infant Formula,Search
I would want Advance Non-GMO Infant Formula Powder,Search
I would want the cheapest baby formula ,Search
I would want the best-selling Pull-Ups,Search
I would want some best-selling diapers,Search
I would want some diapers,Search
I want to buy some baby formula,Search
I want to buy some baby wipes,Search
I want to buy some Pull- Ups,Search
I want to buy the best-selling diapers in size 6,Search
I want to buy the cheapest diapers  in size 2,Search
I want to buy the most popular baby formula ,Search
I want to buy the cheapest baby wipes ,Search
I want to buy some diapers,Search
